
UPLOAD,1024,132676,4.014015197753906,33053188.257543363
DOWNLOAD,1024,5842,4.09698486328125,1425926.6741154564
DOWNLOAD,1024,5842,15.655517578125,373159.17348927876
UPLOAD,1024,0,0.0,0
DOWNLOAD,1024,5842,15.589475631713867,374739.99369905336
UPLOAD,1024,5842,0.0,0
DOWNLOAD,1024,5842,15.296220779418945,381924.4036971804
UPLOAD,1024,5842,0.0,0
UPLOAD,1024,5842,15.627861022949219,373819.5515957771
UPLOAD,1024,5842,15.608787536621094,374276.34826174617
UPLOAD,1024,5842,0.0,0
DOWNLOAD,1024,8192,15.625953674316406,524256.0019530058
DOWNLOAD,1024,5842,46.10610008239746,126707.74560328468
UPLOAD,1024,5842,1.0073184967041016,5799555.968757397
DOWNLOAD,1024,5842,1.9996166229248047,2921560.0295695723
UPLOAD,1024,5842,11.002063751220703,530991.2878255971
